t,Q
30/10/2023 04:26:00,113.132
30/10/2023 04:27:00,112.532
30/10/2023 04:28:00,113.287
30/10/2023 04:29:00,112.917
30/10/2023 04:30:00,111.877
30/10/2023 04:31:00,112.52
30/10/2023 04:32:00,113.031
30/10/2023 04:33:00,113.735
30/10/2023 04:34:00,112.035
30/10/2023 04:35:00,112.913
30/10/2023 04:36:00,112.595
30/10/2023 04:37:00,113.512
30/10/2023 04:38:00,112.83
30/10/2023 04:39:00,112.016
30/10/2023 04:40:00,113.142
30/10/2023 04:41:00,112.569
30/10/2023 04:42:00,112.669
30/10/2023 04:43:00,112.388
30/10/2023 04:44:00,112.666
30/10/2023 04:45:00,112.003
30/10/2023 04:46:00,112.645
30/10/2023 04:47:00,113.021
30/10/2023 04:48:00,112.714
30/10/2023 04:49:00,112.793
30/10/2023 04:50:00,112.462
30/10/2023 04:51:00,112.486
30/10/2023 04:52:00,112.735
30/10/2023 04:53:00,112.837
30/10/2023 04:54:00,112.5
30/10/2023 04:55:00,112.893
30/10/2023 04:56:00,112.734
30/10/2023 04:57:00,112.797
30/10/2023 04:58:00,112.512
30/10/2023 04:59:00,112.39
30/10/2023 05:00:00,112.428
30/10/2023 05:01:00,112.376
30/10/2023 05:02:00,113.165
30/10/2023 05:03:00,112.741
30/10/2023 05:04:00,112.82
30/10/2023 05:05:00,113.024
30/10/2023 05:06:00,112.863
30/10/2023 05:07:00,112.841
30/10/2023 05:08:00,113.096
30/10/2023 05:09:00,112.796
30/10/2023 05:10:00,112.906
30/10/2023 05:11:00,112.119
30/10/2023 05:12:00,112.516
30/10/2023 05:13:00,113.087
30/10/2023 05:14:00,112.744
30/10/2023 05:15:00,112.784
30/10/2023 05:16:00,112.399
30/10/2023 05:17:00,112.821
30/10/2023 05:18:00,113.136
30/10/2023 05:19:00,113.191
30/10/2023 05:20:00,112.371
30/10/2023 05:21:00,112.135
30/10/2023 05:22:00,112.998
30/10/2023 05:23:00,114.195
30/10/2023 05:24:00,113.146
30/10/2023 05:25:00,113.269
30/10/2023 05:26:00,112.525
30/10/2023 05:27:00,112.229
30/10/2023 05:28:00,112.905
30/10/2023 05:29:00,112.382
30/10/2023 05:30:00,111.776
30/10/2023 05:31:00,112.425
30/10/2023 05:32:00,111.879
30/10/2023 05:33:00,112.717
30/10/2023 05:34:00,112.385
30/10/2023 05:35:00,112.199
30/10/2023 05:36:00,112.614
30/10/2023 05:37:00,112.598
30/10/2023 05:38:00,112.983
30/10/2023 05:39:00,113.171
30/10/2023 05:40:00,112.599
30/10/2023 05:41:00,112.552
30/10/2023 05:42:00,112.948
30/10/2023 05:43:00,112.319
30/10/2023 05:44:00,112.056
30/10/2023 05:45:00,112.939
30/10/2023 05:46:00,112.13
30/10/2023 05:47:00,113.068
30/10/2023 05:48:00,113.476
30/10/2023 05:49:00,113.083
30/10/2023 05:50:00,113.112
30/10/2023 05:51:00,113.285
30/10/2023 05:52:00,113.825
30/10/2023 05:53:00,113.238
30/10/2023 05:54:00,112.774
30/10/2023 05:55:00,112.867
30/10/2023 05:56:00,112.799
30/10/2023 05:57:00,112.806
30/10/2023 05:58:00,113.143
30/10/2023 05:59:00,112.44
30/10/2023 06:00:00,112.037
30/10/2023 06:01:00,112.495
30/10/2023 06:02:00,111.869
30/10/2023 06:03:00,112.22
30/10/2023 06:04:00,112.388
30/10/2023 06:05:00,112.574
30/10/2023 06:06:00,111.977
30/10/2023 06:07:00,112.543
30/10/2023 06:08:00,112.355
30/10/2023 06:09:00,112.067
30/10/2023 06:10:00,112.164
30/10/2023 06:11:00,112.387
30/10/2023 06:12:00,112.837
30/10/2023 06:13:00,112.312
30/10/2023 06:14:00,112.661
30/10/2023 06:15:00,113.113
30/10/2023 06:16:00,112.546
30/10/2023 06:17:00,112.714
30/10/2023 06:18:00,112.572
30/10/2023 06:19:00,112.589
30/10/2023 06:20:00,112.931
30/10/2023 06:21:00,111.843
30/10/2023 06:22:00,112.538
30/10/2023 06:23:00,112.901
30/10/2023 06:24:00,113.257
30/10/2023 06:25:00,112.92
30/10/2023 06:26:00,112.565
30/10/2023 06:27:00,112.18
30/10/2023 06:28:00,112.792
30/10/2023 06:29:00,112.983
30/10/2023 06:30:00,112.355
30/10/2023 06:31:00,111.91
30/10/2023 06:32:00,112.806
30/10/2023 06:33:00,112.79
30/10/2023 06:34:00,113.309
30/10/2023 06:35:00,112.544
30/10/2023 06:36:00,111.953
30/10/2023 06:37:00,112.076
30/10/2023 06:38:00,112.878
30/10/2023 06:39:00,111.91
30/10/2023 06:40:00,112.379
30/10/2023 06:41:00,113.062
30/10/2023 06:42:00,113.032
30/10/2023 06:43:00,112.436
30/10/2023 06:44:00,111.985
30/10/2023 06:45:00,112.506
30/10/2023 06:46:00,112.528
30/10/2023 06:47:00,112.295
30/10/2023 06:48:00,112.511
30/10/2023 06:49:00,112.808
30/10/2023 06:50:00,112.311
30/10/2023 06:51:00,112.636
30/10/2023 06:52:00,112.79
30/10/2023 06:53:00,112.563
30/10/2023 06:54:00,112.48
30/10/2023 06:55:00,113.205
30/10/2023 06:56:00,113.942
30/10/2023 06:57:00,112.495
30/10/2023 06:58:00,112.054
30/10/2023 06:59:00,112.682
30/10/2023 07:00:00,112.716
30/10/2023 07:01:00,113.353
30/10/2023 07:02:00,113.079
30/10/2023 07:03:00,112.616
